@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,neutral,['customer service']
@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,negative,['customer service']
@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,negative,['customer service']
@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,negative,['customer service']
@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,positive,['customer service']
@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,positive,['customer service']
@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,positive,['customer service']
@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,positive,['safety']
Bruh “@VirginAmerica: @giannilee Turn down for what. #VXSafetyDance”,neutral,['safety']
@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd,positive,['safety']
@VirginAmerica thanks! Y'all have some of the best customer service left in the industry.,positive,['customer service']
@united @CheerTymeDad So I can buy tix 3 days before flight but can't transfer the tix.  Flawed security logic. Flawed customer service,negative,['customer service']
"@united I am trying to find out if the loaner seat is new or used, a used car seat is illegal according to safety regulations",neutral,['safety']
@united you guys need some serious training in customer service. Too many better options to put up with the way you guys handle ur mistakes,negative,['customer service']
"@united why am I to believe they will help when customer service couldn't? Like I said, I want a number to someone who can fix what you did.",negative,['customer service']
@united Airline trouble this winter &amp; not getting good customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!,neutral,['customer service']
@united very unhappy at no response to complaint emailed on 2nd Feb ref.8441639. Awful customer service!,negative,['customer service']
@united hence why I've been asking for the customer service phone number so I can speak to a real person to get this sorted out,negative,['customer service']
@united pls properly train your agents. Requested to speak to 1k customer service &amp; was transferred to a dead end. Not even open at this hr,negative,['customer service']
"@united customer service is atrocious! You have disrupted my travel plans, you have lost my luggage and it is impossible to TALK TO A HUMAN",negative,['customer service']
"@united has not responded to my various requests for contact numbers, does anyone know the UK customer service number for #UnitedAirlines",negative,['customer service']
"@united good to know you will open the closed doors for ""premier passengers"" after safety briefings on delayed flights. #annoyed.",negative,['safety']
@united we would...how do I contact you to discuss? A few poor experiences with customer service but would give it a shot!,negative,['customer service']
"@united is horrible!! They lost our carseat and expect us to use a loner carseat, safety regulations say it's illegal to use a used car seat",negative,['safety']
@united Thanks to Karen Salisbury at IAH for amazing customer service!  Found my daughter's bag lost on UA1516.  Made her day!,positive,['customer service']
@United THANK U! Secured room for the night Thx to VERY helpful customer service rep N. Dorns.. I thanked her.. Can u 2? #goodenoughmother,positive,['customer service']
@united I've never experienced worst customer service. Placing blame on codeshare partners and not assuming responsibility is unacceptable,negative,['customer service']
@united yes lots. You have terrible customer service at Newark and despite raising a complaint there we were ignored hence the tweet,negative,['customer service']
@united this is atrocious customer service.,negative,['customer service']
@united @dfpietra THAT'S your response?  Shaking my head back and forth with a tsk. You can do better-from customer service to your apology,negative,['customer service']
@united that guy really has no customer service clue.Could have spent effort clearing bins for rollerboards instead of art projects in mine!,negative,['customer service']
@united wow you even answered back!  Awesome! @AmericanAir @USAirways That's customer service!!! #usairwaysfail,positive,['customer service']
@united How do I formally complain about your customer service handler who misconnected me. I was denied boarding &amp; I now lost my bag. Help!,negative,['customer service']
@united been on the phone for over an hour with customer service and they can't figure it out! awesome service... NOT!,negative,['customer service']
"@united After speaking to a United customer service rep the night before a flight, confirming that everything is ok with your reservation..",neutral,['customer service']
@united Please msg me a # for customer service. I will have an invoice for my dry cleaning but won't be able take wet clothes to the airport,negative,['customer service']
"@united UA1130 Flight was a nightmare!! From poor customer service,having my confirmed seat given away.... +more issues",negative,['customer service']
"@united I would like to talk to a customer service agent about the service / non service I received on my last flight a a week or so a go.
J",negative,['customer service']
"@united No, thanks. I'm sick of your company's lousy excuse for customer service. I'm never flying United again.",negative,['customer service']
@united very poor customer service. I WILL think again befor Flight Booking Problems another United flight.,negative,['customer service']
"@united SF crew lack a lot of customer service, LAX employees are a lot better. Wonder why...",negative,['customer service']
"@United Over the last week, United has provided me with the worst customer service experience of my life. Disgusting. #united",negative,['customer service']
"@united even after running to gate from your connecting flight, your customer service not let us in the plane that was just parked. Stranded",negative,['customer service']
@united You are a F&amp;$KING joke. Your customer service is woeful. If your staff tell a passenger that they will do something do it!,negative,['customer service']
@united customer service is the WORST. hanging up on customers intentionally after one hour on hold.,negative,['customer service']
@united the delay is due to customer service for 20 people?  What about the DIS-SERVICE you provided for 100+?  #FlightFail #Hour20Delay,negative,['customer service']
"@united-rebooked to OMA - 180 miles from my destination. Spotty customer service. I get staff stressors but come on, this is your business.",negative,['customer service']
"@United ""delayed due to customer service"" Huh? http://t.co/XlTV5z6sT1",negative,['customer service']
@united what about the poor customer service at checkin at Kansas KCI?!? That's it???,negative,['customer service']
@united Well I can tell you that your customer service at RDU airport is horrific but is exception at O'Hare in Chicago.,negative,['customer service']
@united I'm really glad I just waited on the phone for over an hour to be sent to a voicemail. Your customer service sucks. Nothing has been,negative,['customer service']
@united customer service sucks!  They hang up after waiting an hour and talking for 5 minutes.,negative,['customer service']
@united we needed to be at steamboat for a meeting by 3pm so we took a shuttle. The United customer service people said the bag would be on,negative,['customer service']
@united customer service what's That???,negative,['customer service']
"@united -- overFlight Booking Problems planes, Departing delayed, Returning for 'more quick fixes' &amp; breaking out attitudy-customer service? #worstairline",negative,['customer service']
"@united your gate attendant had some snobby remarks, your customer service is like playing poker with my sisters kids!",negative,['customer service']
@united went to Customer Service kiosk and they were able to help out! Still thanks for following up!,positive,['customer service']
@united thanks. Just was able to do it on the app myself. Still not customer service to be seen in YYZ,negative,['customer service']
"@united should hire extra customer service reps. 50 minute wait time to ask one question? I would rather just fly another airline, thanks.",negative,['customer service']
@united can you get me on the delayed flight to EWR out of YYZ at 15:30? No customer service to be found in airport,negative,['customer service']
@united my last call your customer service agent called me back... As he was stuck on hold to air Canada.. Just hope he's booked me a flight,negative,['customer service']
@united has terrible customer service &amp; doesn't feel the need to notify its customers when their flights are delayed,negative,['customer service']
"@united yes, computer would allow me to get to San Diego quick but customer service will not help.  Says can't rebook http://t.co/KcVUbUYExc",negative,['customer service']
@united two hour delay for a plane that was visible from the airport. So far terrible customer service. #neveragain,negative,['customer service']
@united this customer service experience will be tweeted for quality assurance.,negative,['customer service']
@united they wouldn't let me on. Real nice of you! Just love your awesome service. And U have 2 people working this customer service line..,negative,['customer service']
@united On hold 2X 60 min ea. Trying to bk a tix to Asia. Your website &amp; customer service dont want my business. Korea Air it is.,negative,['customer service']
"@united your service need work - check out this Bush airport ""customer service line"" last nt #unitedagainstunited http://t.co/g00sAozgtv",negative,['customer service']
"@united Also, your phone customer service is almost useless. http://t.co/Mb3bJwGOAp",negative,['customer service']
@united What does delayed due to Customer Service mean for UA761?,negative,['customer service']
@united is 4:30am and I am in the customer service line trying not to scream. #epicfailunited,negative,['customer service']
@united  once again your customer service at the providence airport was horrible. Do you actually care about customers or just making money?,negative,['customer service']
"@united your ""customer service"" team in manilla is absolute shit. I can't even get a supervisor without being out back on hold?!",negative,['customer service']
@united you're customer service is unbelievably bad. Abysmal. I've been on the phone for well over 2hrs tonight. Hung up on by yr ppl 3x.,negative,['customer service']
@united worst customer service experience ever. 40 minutes to get the jetway to the plane at EWR tonight. Flight 354   Disappointed,negative,['customer service']
@united Airline SUCKS! Customer Service SUCKS! NO courtesy! Incompetent - passengers do NOT matter- Bet the CEO is just doing fine though!,negative,['customer service']
@united 3 times I've called customer services each at least 40 mins... Each time cut off by your operators... Why can't you call me back!,negative,['customer service']
@united trying to get a customer service agent.  Just landed in SFO.  Can't fly with 3 layovers with 3 kids!!,negative,['customer service']
@united I was on UA3782 and it was Cancelled Flightled. I'm waiting at customer service.,negative,['customer service']
@united Flight Cancelled Flightled to BDL and stranded @Dulles_Airport. Waiting almost 2hrs at customer service. Shout out to diligent agents.,negative,['customer service']
